dailyDataDate,season,gameDate,gameTimeUTC,teamId,homeAway,homeId,awayId,opponentId
20210401,2021,2021-04-01,"",145,away,108,145,108
20210401,2021,2021-04-01,"",134,away,112,134,112
20210401,2021,2021-04-01,"",138,away,113,138,113
20210401,2021,2021-04-01,"",119,away,115,119,115
20210401,2021,2021-04-01,"",114,away,116,114,116
20210401,2021,2021-04-01,"",140,away,118,140,118
20210401,2021,2021-04-01,"",139,away,146,139,146
20210401,2021,2021-04-01,"",142,away,158,142,158
20210401,2021,2021-04-01,"",141,away,147,141,147
20210401,2021,2021-04-01,"",117,away,133,117,133
20210401,2021,2021-04-01,"",144,away,143,144,143
20210401,2021,2021-04-01,"",109,away,135,109,135
20210401,2021,2021-04-01,"",137,away,136,137,136
20210402,2021,2021-04-02,"",145,away,108,145,108
20210402,2021,2021-04-02,"",110,away,111,110,111
20210402,2021,2021-04-02,"",119,away,115,119,115
20210402,2021,2021-04-02,"",139,away,146,139,146
20210402,2021,2021-04-02,"",117,away,133,117,133
20210402,2021,2021-04-02,"",109,away,135,109,135
20210402,2021,2021-04-02,"",137,away,136,137,136
20210403,2021,2021-04-03,"",145,away,108,145,108
20210403,2021,2021-04-03,"",110,away,111,110,111
20210403,2021,2021-04-03,"",134,away,112,134,112
20210403,2021,2021-04-03,"",138,away,113,138,113
20210403,2021,2021-04-03,"",119,away,115,119,115
20210403,2021,2021-04-03,"",114,away,116,114,116
20210403,2021,2021-04-03,"",140,away,118,140,118
20210403,2021,2021-04-03,"",139,away,146,139,146
20210403,2021,2021-04-03,"",142,away,158,142,158
20210403,2021,2021-04-03,"",141,away,147,141,147
20210403,2021,2021-04-03,"",117,away,133,117,133
20210403,2021,2021-04-03,"",144,away,143,144,143
20210403,2021,2021-04-03,"",109,away,135,109,135
20210403,2021,2021-04-03,"",137,away,136,137,136
20210404,2021,2021-04-04,"",145,away,108,145,108
20210404,2021,2021-04-04,"",110,away,111,110,111
20210404,2021,2021-04-04,"",134,away,112,134,112
20210404,2021,2021-04-04,"",138,away,113,138,113
20210404,2021,2021-04-04,"",119,away,115,119,115
20210404,2021,2021-04-04,"",114,away,116,114,116
20210404,2021,2021-04-04,"",140,away,118,140,118
20210404,2021,2021-04-04,"",142,away,158,142,158
20210404,2021,2021-04-04,"",141,away,147,141,147
20210404,2021,2021-04-04,"",117,away,133,117,133
20210404,2021,2021-04-04,"",144,away,143,144,143
20210404,2021,2021-04-04,"",109,away,135,109,135
20210405,2021,2021-04-05,"",117,away,108,117,108
20210405,2021,2021-04-05,"",139,away,111,139,111
20210405,2021,2021-04-05,"",158,away,112,158,112
20210405,2021,2021-04-05,"",134,away,113,134,113
20210405,2021,2021-04-05,"",118,away,114,118,114
20210405,2021,2021-04-05,"",142,away,116,142,116
20210405,2021,2021-04-05,"",138,away,146,138,146
20210405,2021,2021-04-05,"",110,away,147,110,147
20210405,2021,2021-04-05,"",119,away,133,119,133
20210405,2021,2021-04-05,"",121,away,143,121,143
20210405,2021,2021-04-05,"",137,away,135,137,135
20210405,2021,2021-04-05,"",145,away,136,145,136
20210405,2021,2021-04-05,"",141,away,140,141,140
20210406,2021,2021-04-06,"",117,away,108,117,108
20210406,2021,2021-04-06,"",139,away,111,139,111
20210406,2021,2021-04-06,"",158,away,112,158,112
20210406,2021,2021-04-06,"",134,away,113,134,113
20210406,2021,2021-04-06,"",109,away,115,109,115
20210406,2021,2021-04-06,"",142,away,116,142,116
20210406,2021,2021-04-06,"",138,away,146,138,146
20210406,2021,2021-04-06,"",110,away,147,110,147
20210406,2021,2021-04-06,"",119,away,133,119,133
20210406,2021,2021-04-06,"",121,away,143,121,143
20210406,2021,2021-04-06,"",137,away,135,137,135
20210406,2021,2021-04-06,"",145,away,136,145,136
20210406,2021,2021-04-06,"",141,away,140,141,140
20210406,2021,2021-04-06,"",144,away,120,144,120
20210407,2021,2021-04-07,"",139,away,111,139,111
20210407,2021,2021-04-07,"",158,away,112,158,112
20210407,2021,2021-04-07,"",134,away,113,134,113
20210407,2021,2021-04-07,"",118,away,114,118,114
20210407,2021,2021-04-07,"",109,away,115,109,115
20210407,2021,2021-04-07,"",142,away,116,142,116
20210407,2021,2021-04-07,"",138,away,146,138,146
20210407,2021,2021-04-07,"",110,away,147,110,147
20210407,2021,2021-04-07,"",119,away,133,119,133
20210407,2021,2021-04-07,"",121,away,143,121,143
20210407,2021,2021-04-07,"",137,away,135,137,135
20210407,2021,2021-04-07,"",145,away,136,145,136
20210407,2021,2021-04-07,"",141,away,140,141,140
20210407,2021,2021-04-07,"",144,away,120,144,120
20210407,2021,2021-04-07,"",144,away,120,144,120
20210408,2021,2021-04-08,"",111,away,110,111,110
20210408,2021,2021-04-08,"",118,away,145,118,145
20210408,2021,2021-04-08,"",109,away,115,109,115
20210408,2021,2021-04-08,"",133,away,117,133,117
20210408,2021,2021-04-08,"",136,away,142,136,142
20210408,2021,2021-04-08,"",146,away,121,146,121
20210408,2021,2021-04-08,"",112,away,134,112,134
20210408,2021,2021-04-08,"",158,away,138,158,138
20210408,2021,2021-04-08,"",108,away,141,108,141
20210409,2021,2021-04-09,"",113,away,109,113,109
20210409,2021,2021-04-09,"",143,away,144,143,144
20210409,2021,2021-04-09,"",116,away,114,116,114
20210409,2021,2021-04-09,"",133,away,117,133,117
20210409,2021,2021-04-09,"",120,away,119,120,119
20210409,2021,2021-04-09,"",115,away,137,115,137
20210409,2021,2021-04-09,"",147,away,139,147,139
20210409,2021,2021-04-09,"",135,away,140,135,140
20210409,2021,2021-04-09,"",108,away,141,108,141
20210410,2021,2021-04-10,"",113,away,109,113,109
20210410,2021,2021-04-10,"",143,away,144,143,144
20210410,2021,2021-04-10,"",111,away,110,111,110
20210410,2021,2021-04-10,"",116,away,114,116,114
20210410,2021,2021-04-10,"",133,away,117,133,117
20210410,2021,2021-04-10,"",120,away,119,120,119
20210410,2021,2021-04-10,"",136,away,142,136,142
20210410,2021,2021-04-10,"",146,away,121,146,121
20210410,2021,2021-04-10,"",112,away,134,112,134
20210410,2021,2021-04-10,"",115,away,137,115,137
20210410,2021,2021-04-10,"",158,away,138,158,138
